product_key,product_id,product_name,category,subcategory,brand,mrp,standard_cost,standard_margin_pct,price_band,is_perishable,is_active,launch_year
92,92,Football Model 630,Sports,Football,Brand14,22364.0,9430.0,57.83,Premium,0,1,2021
93,93,Makeup Model 313,Beauty,Makeup,Brand02,1565.0,740.0,52.72,Mid-Range,0,1,2016
94,94,Men Clothing Model 194,Fashion,Men Clothing,Brand30,6729.0,3108.0,53.81,Premium,0,1,2018
95,95,Dairy Model 887,Grocery,Dairy,Brand43,1648.0,781.0,52.61,Mid-Range,1,1,2016
96,96,Cricket Model 152,Sports,Cricket,Brand41,2476.0,1281.0,48.26,Mid-Range,0,1,2017
97,97,Football Model 674,Sports,Football,Brand02,23638.0,14688.0,37.86,Premium,0,1,2021
98,98,Appliances Model 717,Home & Kitchen,Appliances,Brand41,31424.0,17751.0,43.51,Luxury,0,1,2016
99,99,Women Clothing Model 932,Fashion,Women Clothing,Brand48,7624.0,4536.0,40.5,Premium,0,1,2022
100,100,Makeup Model 381,Beauty,Makeup,Brand30,4173.0,1765.0,57.7,Mid-Range,0,1,2022
101,101,Fragrances Model 430,Beauty,Fragrances,Brand45,2526.0,1226.0,51.46,Mid-Range,0,1,2016
102,102,Skincare Model 677,Beauty,Skincare,Brand30,918.0,470.0,48.8,Mid-Range,0,1,2015
103,103,Makeup Model 548,Beauty,Makeup,Brand22,3416.0,2093.0,38.73,Mid-Range,0,1,2015
104,104,Tablets Model 550,Electronics,Tablets,Brand36,33484.0,21165.0,36.79,Luxury,0,1,2018
105,105,Appliances Model 389,Home & Kitchen,Appliances,Brand49,15581.0,9785.0,37.2,Premium,0,1,2019
106,106,Smart TV Model 808,Electronics,Smart TV,Brand11,85867.0,47138.0,45.1,Luxury,0,1,2018
107,107,Accessories Model 602,Fashion,Accessories,Brand48,9444.0,5605.0,40.65,Premium,0,1,2016
108,108,Smart TV Model 234,Electronics,Smart TV,Brand35,76282.0,37013.0,51.48,Luxury,0,1,2015
109,109,Accessories Model 911,Fashion,Accessories,Brand20,13957.0,8315.0,40.42,Premium,0,1,2021
110,110,Staples Model 473,Grocery,Staples,Brand36,1549.0,692.0,55.33,Mid-Range,1,1,2020
111,111,Makeup Model 853,Beauty,Makeup,Brand05,2676.0,1736.0,35.13,Mid-Range,0,1,2015
112,112,Football Model 875,Sports,Football,Brand43,8368.0,4883.0,41.65,Premium,0,1,2016
113,113,Snacks Model 310,Grocery,Snacks,Brand18,1818.0,790.0,56.55,Mid-Range,1,1,2016
114,114,Outdoor Model 671,Sports,Outdoor,Brand36,29901.0,15872.0,46.92,Luxury,0,1,2017
115,115,Furniture Model 242,Home & Kitchen,Furniture,Brand02,34407.0,19418.0,43.56,Luxury,0,1,2017
116,116,Outdoor Model 556,Sports,Outdoor,Brand30,8222.0,4668.0,43.23,Premium,0,1,2017
117,117,Accessories Model 969,Fashion,Accessories,Brand44,2316.0,936.0,59.59,Mid-Range,0,1,2018
118,118,Makeup Model 569,Beauty,Makeup,Brand02,3506.0,1606.0,54.19,Mid-Range,0,1,2015
119,119,Men Clothing Model 759,Fashion,Men Clothing,Brand43,8664.0,5285.0,39.0,Premium,0,1,2021
120,120,Football Model 183,Sports,Football,Brand41,28408.0,14215.0,49.96,Luxury,0,1,2018
121,121,Mobile Phones Model 534,Electronics,Mobile Phones,Brand02,13343.0,7666.0,42.55,Premium,0,1,2018
122,122,Mobile Phones Model 323,Electronics,Mobile Phones,Brand46,58987.0,34905.0,40.83,Luxury,0,0,2017
123,123,Dairy Model 188,Grocery,Dairy,Brand36,2000.0,1099.0,45.05,Mid-Range,1,0,2017
124,124,Makeup Model 412,Beauty,Makeup,Brand35,4648.0,2238.0,51.85,Mid-Range,0,1,2020
125,125,Makeup Model 814,Beauty,Makeup,Brand16,4928.0,2732.0,44.56,Mid-Range,0,1,2020
126,126,Men Clothing Model 471,Fashion,Men Clothing,Brand49,12712.0,6483.0,49.0,Premium,0,1,2019
127,127,Men Clothing Model 988,Fashion,Men Clothing,Brand35,5881.0,2851.0,51.52,Premium,0,1,2020
128,128,Smart TV Model 946,Electronics,Smart TV,Brand17,119992.0,68195.0,43.17,Luxury,0,1,2015
129,129,Fitness Equipment Model 313,Sports,Fitness Equipment,Brand48,22591.0,10251.0,54.62,Premium,0,0,2018
130,130,Smart TV Model 652,Electronics,Smart TV,Brand12,109891.0,66857.0,39.16,Luxury,0,1,2016
131,131,Snacks Model 317,Grocery,Snacks,Brand43,1325.0,794.0,40.08,Mid-Range,1,1,2015
132,132,Men Clothing Model 315,Fashion,Men Clothing,Brand33,3487.0,1642.0,52.91,Mid-Range,0,1,2017
133,133,Women Clothing Model 455,Fashion,Women Clothing,Brand07,1129.0,606.0,46.32,Mid-Range,0,1,2015
134,134,Footwear Model 117,Fashion,Footwear,Brand19,1320.0,618.0,53.18,Mid-Range,0,1,2017
135,135,Tablets Model 185,Electronics,Tablets,Brand25,4429.0,2052.0,53.67,Mid-Range,0,1,2018
136,136,Tablets Model 176,Electronics,Tablets,Brand03,68976.0,42807.0,37.94,Luxury,0,1,2019
137,137,Skincare Model 529,Beauty,Skincare,Brand36,3703.0,2209.0,40.35,Mid-Range,0,1,2017
138,138,Appliances Model 259,Home & Kitchen,Appliances,Brand12,30869.0,14288.0,53.71,Luxury,0,1,2017
139,139,Women Clothing Model 945,Fashion,Women Clothing,Brand45,12343.0,7792.0,36.87,Premium,0,1,2017
140,140,Snacks Model 758,Grocery,Snacks,Brand22,1601.0,934.0,41.66,Mid-Range,1,1,2022
141,141,Skincare Model 757,Beauty,Skincare,Brand08,4538.0,2163.0,52.34,Mid-Range,0,1,2016
142,142,Makeup Model 170,Beauty,Makeup,Brand28,2133.0,931.0,56.35,Mid-Range,0,1,2021
143,143,Skincare Model 427,Beauty,Skincare,Brand25,1727.0,1120.0,35.15,Mid-Range,0,1,2022
144,144,Women Clothing Model 873,Fashion,Women Clothing,Brand34,13247.0,7602.0,42.61,Premium,0,1,2015
145,145,Fitness Equipment Model 440,Sports,Fitness Equipment,Brand41,25980.0,11522.0,55.65,Luxury,0,1,2018
146,146,Cookware Model 764,Home & Kitchen,Cookware,Brand39,22434.0,13522.0,39.73,Premium,0,1,2022
147,147,Bedding Model 957,Home & Kitchen,Bedding,Brand39,32277.0,19223.0,40.44,Luxury,0,1,2017
148,148,Bedding Model 528,Home & Kitchen,Bedding,Brand38,11541.0,4892.0,57.61,Premium,0,1,2017
149,149,Skincare Model 641,Beauty,Skincare,Brand22,3036.0,1675.0,44.83,Mid-Range,0,1,2019
150,150,Fitness Equipment Model 532,Sports,Fitness Equipment,Brand39,8578.0,3823.0,55.43,Premium,0,1,2015
151,151,Dairy Model 532,Grocery,Dairy,Brand01,420.0,205.0,51.19,Budget,1,1,2018
152,152,Beverages Model 644,Grocery,Beverages,Brand34,1387.0,655.0,52.78,Mid-Range,1,1,2021
153,153,Furniture Model 644,Home & Kitchen,Furniture,Brand05,42310.0,20912.0,50.57,Luxury,0,0,2019
154,154,Men Clothing Model 650,Fashion,Men Clothing,Brand30,11454.0,7026.0,38.66,Premium,0,1,2021
155,155,Bedding Model 986,Home & Kitchen,Bedding,Brand13,36710.0,18651.0,49.19,Luxury,0,1,2022
156,156,Appliances Model 323,Home & Kitchen,Appliances,Brand05,30672.0,12547.0,59.09,Luxury,0,1,2018
157,157,Men Clothing Model 389,Fashion,Men Clothing,Brand44,6532.0,3342.0,48.84,Premium,0,0,2021
158,158,Haircare Model 584,Beauty,Haircare,Brand13,4975.0,3105.0,37.59,Mid-Range,0,1,2019
159,159,Accessories Model 639,Fashion,Accessories,Brand28,14891.0,7897.0,46.97,Premium,0,1,2019
160,160,Footwear Model 739,Fashion,Footwear,Brand30,5937.0,2737.0,53.9,Premium,0,1,2022
161,161,Laptops Model 633,Electronics,Laptops,Brand21,5693.0,3020.0,46.95,Premium,0,1,2018
162,162,Accessories Model 948,Fashion,Accessories,Brand04,341.0,176.0,48.39,Budget,0,1,2015
163,163,Staples Model 859,Grocery,Staples,Brand08,920.0,425.0,53.8,Mid-Range,1,1,2016
164,164,Staples Model 311,Grocery,Staples,Brand39,1863.0,957.0,48.63,Mid-Range,1,1,2020
165,165,Dairy Model 206,Grocery,Dairy,Brand26,589.0,313.0,46.86,Mid-Range,1,1,2021
166,166,Bedding Model 207,Home & Kitchen,Bedding,Brand01,17827.0,7478.0,58.05,Premium,0,1,2019
167,167,Staples Model 386,Grocery,Staples,Brand29,84.0,50.0,40.48,Budget,1,1,2016
168,168,Women Clothing Model 983,Fashion,Women Clothing,Brand48,8510.0,4514.0,46.96,Premium,0,1,2021
169,169,Bedding Model 309,Home & Kitchen,Bedding,Brand29,45897.0,24072.0,47.55,Luxury,0,1,2018
170,170,Men Clothing Model 842,Fashion,Men Clothing,Brand04,3080.0,1488.0,51.69,Mid-Range,0,1,2018
171,171,Snacks Model 914,Grocery,Snacks,Brand42,289.0,170.0,41.18,Budget,1,1,2018
172,172,Accessories Model 642,Fashion,Accessories,Brand23,8897.0,5675.0,36.21,Premium,0,1,2019
173,173,Smart TV Model 504,Electronics,Smart TV,Brand20,108278.0,52475.0,51.54,Luxury,0,1,2018
174,174,Smart TV Model 230,Electronics,Smart TV,Brand43,45609.0,27603.0,39.48,Luxury,0,0,2017
175,175,Snacks Model 343,Grocery,Snacks,Brand20,590.0,372.0,36.95,Mid-Range,1,1,2018
176,176,Mobile Phones Model 266,Electronics,Mobile Phones,Brand20,9443.0,4668.0,50.57,Premium,0,1,2019
177,177,Smart TV Model 976,Electronics,Smart TV,Brand23,9312.0,5048.0,45.79,Premium,0,1,2020
178,178,Makeup Model 277,Beauty,Makeup,Brand25,2683.0,1490.0,44.47,Mid-Range,0,1,2017
179,179,Outdoor Model 854,Sports,Outdoor,Brand46,20952.0,9884.0,52.83,Premium,0,1,2020
180,180,Footwear Model 466,Fashion,Footwear,Brand32,10900.0,5772.0,47.05,Premium,0,1,2018
181,181,Mobile Phones Model 946,Electronics,Mobile Phones,Brand05,67058.0,31333.0,53.27,Luxury,0,1,2022
182,182,Smart TV Model 800,Electronics,Smart TV,Brand37,99983.0,55273.0,44.72,Luxury,0,1,2021
183,183,Fragrances Model 487,Beauty,Fragrances,Brand39,1479.0,840.0,43.2,Mid-Range,0,1,2019
184,184,Tablets Model 155,Electronics,Tablets,Brand22,52307.0,25022.0,52.16,Luxury,0,1,2017
185,185,Accessories Model 455,Fashion,Accessories,Brand03,6755.0,3784.0,43.98,Premium,0,0,2018
186,186,Haircare Model 622,Beauty,Haircare,Brand03,299.0,138.0,53.85,Budget,0,1,2015
187,187,Dairy Model 255,Grocery,Dairy,Brand35,1519.0,864.0,43.12,Mid-Range,1,1,2019
188,188,Men Clothing Model 369,Fashion,Men Clothing,Brand29,1516.0,669.0,55.87,Mid-Range,0,1,2016
189,189,Women Clothing Model 686,Fashion,Women Clothing,Brand30,6926.0,3774.0,45.51,Premium,0,1,2021
190,190,Mobile Phones Model 363,Electronics,Mobile Phones,Brand23,6047.0,3249.0,46.27,Premium,0,1,2022
191,191,Tablets Model 920,Electronics,Tablets,Brand12,62501.0,35001.0,44.0,Luxury,0,1,2020
192,192,Football Model 594,Sports,Football,Brand31,11047.0,6980.0,36.82,Premium,0,1,2015
193,193,Furniture Model 741,Home & Kitchen,Furniture,Brand38,39699.0,18764.0,52.73,Luxury,0,1,2016
194,194,Headphones Model 933,Electronics,Headphones,Brand10,42747.0,27601.0,35.43,Luxury,0,1,2019
195,195,Men Clothing Model 311,Fashion,Men Clothing,Brand23,12927.0,8035.0,37.84,Premium,0,1,2022
196,196,Footwear Model 810,Fashion,Footwear,Brand47,1458.0,846.0,41.98,Mid-Range,0,1,2018
197,197,Furniture Model 458,Home & Kitchen,Furniture,Brand29,46331.0,20819.0,55.06,Luxury,0,1,2022
198,198,Laptops Model 313,Electronics,Laptops,Brand32,97186.0,61697.0,36.52,Luxury,0,1,2021
199,199,Cookware Model 212,Home & Kitchen,Cookware,Brand30,3503.0,2232.0,36.28,Mid-Range,0,1,2017
200,200,Dairy Model 332,Grocery,Dairy,Brand47,1505.0,627.0,58.34,Mid-Range,1,1,2016
201,201,Outdoor Model 306,Sports,Outdoor,Brand38,26544.0,15907.0,40.07,Luxury,0,1,2017
202,202,Smart TV Model 529,Electronics,Smart TV,Brand27,81686.0,33302.0,59.23,Luxury,0,1,2019
203,203,Dairy Model 285,Grocery,Dairy,Brand11,907.0,446.0,50.83,Mid-Range,1,1,2022
204,204,Fitness Equipment Model 306,Sports,Fitness Equipment,Brand04,1828.0,809.0,55.74,Mid-Range,0,1,2021
205,205,Snacks Model 753,Grocery,Snacks,Brand39,59.0,33.0,44.07,Budget,1,1,2015
206,206,Furniture Model 212,Home & Kitchen,Furniture,Brand38,25321.0,11516.0,54.52,Luxury,0,1,2018
207,207,Makeup Model 272,Beauty,Makeup,Brand12,2586.0,1458.0,43.62,Mid-Range,0,1,2018
208,208,Women Clothing Model 151,Fashion,Women Clothing,Brand37,3788.0,2382.0,37.12,Mid-Range,0,1,2021
209,209,Appliances Model 290,Home & Kitchen,Appliances,Brand06,23873.0,15405.0,35.47,Premium,0,1,2022
210,210,Dairy Model 204,Grocery,Dairy,Brand42,873.0,478.0,45.25,Mid-Range,1,1,2019
211,211,Football Model 184,Sports,Football,Brand12,17352.0,9996.0,42.39,Premium,0,1,2021
212,212,Outdoor Model 628,Sports,Outdoor,Brand19,10081.0,5994.0,40.54,Premium,0,1,2022
213,213,Snacks Model 845,Grocery,Snacks,Brand15,1758.0,1036.0,41.07,Mid-Range,1,1,2016
214,214,Cricket Model 360,Sports,Cricket,Brand32,28263.0,14812.0,47.59,Luxury,0,0,2018
215,215,Outdoor Model 749,Sports,Outdoor,Brand24,26463.0,17189.0,35.05,Luxury,0,1,2021
216,216,Accessories Model 873,Fashion,Accessories,Brand02,10061.0,5887.0,41.49,Premium,0,1,2021
217,217,Staples Model 632,Grocery,Staples,Brand47,207.0,111.0,46.38,Budget,1,1,2016
218,218,Makeup Model 184,Beauty,Makeup,Brand09,2802.0,1741.0,37.87,Mid-Range,0,1,2021
219,219,Cricket Model 727,Sports,Cricket,Brand09,1552.0,786.0,49.36,Mid-Range,0,1,2022
220,220,Footwear Model 676,Fashion,Footwear,Brand33,11696.0,6256.0,46.51,Premium,0,0,2018
221,221,Furniture Model 785,Home & Kitchen,Furniture,Brand05,7052.0,4148.0,41.18,Premium,0,1,2018
222,222,Tablets Model 779,Electronics,Tablets,Brand04,36203.0,14763.0,59.22,Luxury,0,1,2019
223,223,Outdoor Model 995,Sports,Outdoor,Brand10,8677.0,5149.0,40.66,Premium,0,1,2021
224,224,Tablets Model 287,Electronics,Tablets,Brand25,115136.0,47643.0,58.62,Luxury,0,1,2016
225,225,Bedding Model 833,Home & Kitchen,Bedding,Brand50,8942.0,3612.0,59.61,Premium,0,1,2022
226,226,Women Clothing Model 759,Fashion,Women Clothing,Brand15,1629.0,751.0,53.9,Mid-Range,0,1,2018
227,227,Furniture Model 479,Home & Kitchen,Furniture,Brand32,7764.0,4516.0,41.83,Premium,0,1,2017
228,228,Appliances Model 794,Home & Kitchen,Appliances,Brand23,9436.0,3970.0,57.93,Premium,0,1,2018
229,229,Skincare Model 512,Beauty,Skincare,Brand23,4590.0,2528.0,44.92,Mid-Range,0,1,2017
230,230,Dairy Model 678,Grocery,Dairy,Brand22,836.0,410.0,50.96,Mid-Range,1,1,2015
231,231,Cookware Model 869,Home & Kitchen,Cookware,Brand14,36903.0,19992.0,45.83,Luxury,0,1,2021
232,232,Snacks Model 322,Grocery,Snacks,Brand39,1228.0,783.0,36.24,Mid-Range,1,1,2019
233,233,Fitness Equipment Model 448,Sports,Fitness Equipment,Brand03,12527.0,6975.0,44.32,Premium,0,1,2017
234,234,Bedding Model 439,Home & Kitchen,Bedding,Brand49,23297.0,12696.0,45.5,Premium,0,1,2020
235,235,Cricket Model 568,Sports,Cricket,Brand43,2452.0,997.0,59.34,Mid-Range,0,1,2017
236,236,Football Model 523,Sports,Football,Brand16,22020.0,11325.0,48.57,Premium,0,1,2020
237,237,Fitness Equipment Model 893,Sports,Fitness Equipment,Brand17,9480.0,5457.0,42.44,Premium,0,1,2022
238,238,Headphones Model 840,Electronics,Headphones,Brand45,52736.0,25314.0,52.0,Luxury,0,1,2018
239,239,Appliances Model 253,Home & Kitchen,Appliances,Brand13,18223.0,10604.0,41.81,Premium,0,1,2016
240,240,Skincare Model 427,Beauty,Skincare,Brand01,532.0,308.0,42.11,Mid-Range,0,1,2022
241,241,Furniture Model 402,Home & Kitchen,Furniture,Brand04,36928.0,22045.0,40.3,Luxury,0,1,2017
242,242,Snacks Model 277,Grocery,Snacks,Brand19,840.0,488.0,41.9,Mid-Range,1,1,2020
243,243,Furniture Model 598,Home & Kitchen,Furniture,Brand29,1196.0,497.0,58.44,Mid-Range,0,1,2018
244,244,Fragrances Model 560,Beauty,Fragrances,Brand44,1585.0,1029.0,35.08,Mid-Range,0,1,2017
245,245,Furniture Model 747,Home & Kitchen,Furniture,Brand44,18738.0,10331.0,44.87,Premium,0,1,2015
246,246,Footwear Model 457,Fashion,Footwear,Brand31,1780.0,881.0,50.51,Mid-Range,0,0,2022
247,247,Skincare Model 139,Beauty,Skincare,Brand49,1705.0,982.0,42.4,Mid-Range,0,1,2016
248,248,Accessories Model 818,Fashion,Accessories,Brand03,12290.0,7385.0,39.91,Premium,0,1,2019
249,249,Staples Model 943,Grocery,Staples,Brand32,474.0,218.0,54.01,Budget,1,1,2022
250,250,Fitness Equipment Model 408,Sports,Fitness Equipment,Brand44,27769.0,17631.0,36.51,Luxury,0,1,2016
