src_product_id,product_name,category,subcategory,brand,mrp,standard_cost,weight_kg,is_perishable,reorder_level,supplier_code,launch_date,is_active,etl_load_date
89,Beverages Model 615,Grocery,Beverages,Brand50,54.0,26.0,9.56,1,88,SUP042,2019-10-19,1,2026-05-24
90,Haircare Model 882,Beauty,Haircare,Brand44,683.0,305.0,12.56,0,33,SUP087,2020-04-29,1,2026-05-24
91,Staples Model 832,Grocery,Staples,Brand41,558.0,297.0,18.11,1,18,SUP056,2017-02-22,1,2026-05-24
92,Football Model 630,Sports,Football,Brand14,22364.0,9430.0,6.32,0,81,SUP066,2021-09-16,1,2026-05-24
93,Makeup Model 313,Beauty,Makeup,Brand02,1565.0,740.0,6.3,0,34,SUP075,2016-01-31,1,2026-05-24
94,Men Clothing Model 194,Fashion,Men Clothing,Brand30,6729.0,3108.0,17.11,0,31,SUP088,2018-06-03,1,2026-05-24
95,Dairy Model 887,Grocery,Dairy,Brand43,1648.0,781.0,3.83,1,18,SUP094,2016-10-15,1,2026-05-24
96,Cricket Model 152,Sports,Cricket,Brand41,2476.0,1281.0,8.78,0,91,SUP037,2017-10-24,1,2026-05-24
97,Football Model 674,Sports,Football,Brand02,23638.0,14688.0,3.21,0,85,SUP086,2021-11-01,1,2026-05-24
98,Appliances Model 717,Home & Kitchen,Appliances,Brand41,31424.0,17751.0,5.3,0,33,SUP093,2016-03-16,1,2026-05-24
99,Women Clothing Model 932,Fashion,Women Clothing,Brand48,7624.0,4536.0,19.4,0,84,SUP007,2022-07-05,1,2026-05-24
100,Makeup Model 381,Beauty,Makeup,Brand30,4173.0,1765.0,19.32,0,12,SUP020,2022-06-16,1,2026-05-24
101,Fragrances Model 430,Beauty,Fragrances,Brand45,2526.0,1226.0,9.52,0,95,SUP049,2016-11-14,1,2026-05-24
102,Skincare Model 677,Beauty,Skincare,Brand30,918.0,470.0,14.05,0,25,SUP074,2015-10-14,1,2026-05-24
103,Makeup Model 548,Beauty,Makeup,Brand22,3416.0,2093.0,2.02,0,100,SUP073,2015-12-27,1,2026-05-24
104,Tablets Model 550,Electronics,Tablets,Brand36,33484.0,21165.0,8.92,0,10,SUP042,2018-04-23,1,2026-05-24
105,Appliances Model 389,Home & Kitchen,Appliances,Brand49,15581.0,9785.0,5.19,0,54,SUP078,2019-08-02,1,2026-05-24
106,Smart TV Model 808,Electronics,Smart TV,Brand11,85867.0,47138.0,6.31,0,10,SUP067,2018-07-16,1,2026-05-24
107,Accessories Model 602,Fashion,Accessories,Brand48,9444.0,5605.0,4.14,0,71,SUP070,2016-07-18,1,2026-05-24
108,Smart TV Model 234,Electronics,Smart TV,Brand35,76282.0,37013.0,19.11,0,84,SUP055,2015-12-01,1,2026-05-24
109,Accessories Model 911,Fashion,Accessories,Brand20,13957.0,8315.0,11.66,0,49,SUP058,2021-09-21,1,2026-05-24
110,Staples Model 473,Grocery,Staples,Brand36,1549.0,692.0,19.37,1,72,SUP023,2020-02-29,1,2026-05-24
111,Makeup Model 853,Beauty,Makeup,Brand05,2676.0,1736.0,4.64,0,33,SUP019,2015-10-05,1,2026-05-24
112,Football Model 875,Sports,Football,Brand43,8368.0,4883.0,8.48,0,83,SUP037,2016-02-28,1,2026-05-24
113,Snacks Model 310,Grocery,Snacks,Brand18,1818.0,790.0,19.93,1,22,SUP085,2016-02-04,1,2026-05-24
114,Outdoor Model 671,Sports,Outdoor,Brand36,29901.0,15872.0,16.27,0,30,SUP041,2017-03-09,1,2026-05-24
115,Furniture Model 242,Home & Kitchen,Furniture,Brand02,34407.0,19418.0,15.75,0,53,SUP002,2017-10-06,1,2026-05-24
116,Outdoor Model 556,Sports,Outdoor,Brand30,8222.0,4668.0,16.5,0,46,SUP022,2017-06-01,1,2026-05-24
117,Accessories Model 969,Fashion,Accessories,Brand44,2316.0,936.0,18.1,0,85,SUP087,2018-02-18,1,2026-05-24
118,Makeup Model 569,Beauty,Makeup,Brand02,3506.0,1606.0,8.97,0,16,SUP023,2015-02-07,1,2026-05-24
119,Men Clothing Model 759,Fashion,Men Clothing,Brand43,8664.0,5285.0,1.95,0,91,SUP001,2021-03-17,1,2026-05-24
120,Football Model 183,Sports,Football,Brand41,28408.0,14215.0,3.58,0,75,SUP073,2018-08-06,1,2026-05-24
121,Mobile Phones Model 534,Electronics,Mobile Phones,Brand02,13343.0,7666.0,4.86,0,50,SUP012,2018-01-11,1,2026-05-24
122,Mobile Phones Model 323,Electronics,Mobile Phones,Brand46,58987.0,34905.0,10.11,0,14,SUP003,2017-08-13,0,2026-05-24
123,Dairy Model 188,Grocery,Dairy,Brand36,2000.0,1099.0,18.65,1,43,SUP077,2017-01-20,0,2026-05-24
124,Makeup Model 412,Beauty,Makeup,Brand35,4648.0,2238.0,0.43,0,71,SUP075,2020-04-20,1,2026-05-24
125,Makeup Model 814,Beauty,Makeup,Brand16,4928.0,2732.0,5.68,0,86,SUP020,2020-04-09,1,2026-05-24
126,Men Clothing Model 471,Fashion,Men Clothing,Brand49,12712.0,6483.0,4.18,0,17,SUP034,2019-04-17,1,2026-05-24
127,Men Clothing Model 988,Fashion,Men Clothing,Brand35,5881.0,2851.0,12.79,0,27,SUP074,2020-01-27,1,2026-05-24
128,Smart TV Model 946,Electronics,Smart TV,Brand17,119992.0,68195.0,13.07,0,29,SUP056,2015-04-20,1,2026-05-24
129,Fitness Equipment Model 313,Sports,Fitness Equipment,Brand48,22591.0,10251.0,13.55,0,53,SUP100,2018-05-16,0,2026-05-24
130,Smart TV Model 652,Electronics,Smart TV,Brand12,109891.0,66857.0,2.3,0,30,SUP013,2016-09-20,1,2026-05-24
131,Snacks Model 317,Grocery,Snacks,Brand43,1325.0,794.0,18.47,1,64,SUP042,2015-11-15,1,2026-05-24
132,Men Clothing Model 315,Fashion,Men Clothing,Brand33,3487.0,1642.0,2.86,0,91,SUP014,2017-01-12,1,2026-05-24
133,Women Clothing Model 455,Fashion,Women Clothing,Brand07,1129.0,606.0,9.25,0,21,SUP075,2015-01-16,1,2026-05-24
134,Footwear Model 117,Fashion,Footwear,Brand19,1320.0,618.0,16.56,0,99,SUP052,2017-02-06,1,2026-05-24
135,Tablets Model 185,Electronics,Tablets,Brand25,4429.0,2052.0,6.17,0,16,SUP086,2018-01-28,1,2026-05-24
136,Tablets Model 176,Electronics,Tablets,Brand03,68976.0,42807.0,18.08,0,16,SUP010,2019-08-01,1,2026-05-24
137,Skincare Model 529,Beauty,Skincare,Brand36,3703.0,2209.0,19.08,0,51,SUP040,2017-04-06,1,2026-05-24
138,Appliances Model 259,Home & Kitchen,Appliances,Brand12,30869.0,14288.0,9.18,0,52,SUP085,2017-03-11,1,2026-05-24
139,Women Clothing Model 945,Fashion,Women Clothing,Brand45,12343.0,7792.0,3.67,0,51,SUP025,2017-06-19,1,2026-05-24
140,Snacks Model 758,Grocery,Snacks,Brand22,1601.0,934.0,9.36,1,56,SUP081,2022-07-27,1,2026-05-24
141,Skincare Model 757,Beauty,Skincare,Brand08,4538.0,2163.0,11.99,0,47,SUP008,2016-07-16,1,2026-05-24
142,Makeup Model 170,Beauty,Makeup,Brand28,2133.0,931.0,3.54,0,79,SUP059,2021-10-10,1,2026-05-24
143,Skincare Model 427,Beauty,Skincare,Brand25,1727.0,1120.0,7.28,0,16,SUP018,2022-06-25,1,2026-05-24
144,Women Clothing Model 873,Fashion,Women Clothing,Brand34,13247.0,7602.0,11.02,0,69,SUP062,2015-01-22,1,2026-05-24
145,Fitness Equipment Model 440,Sports,Fitness Equipment,Brand41,25980.0,11522.0,6.69,0,20,SUP048,2018-07-25,1,2026-05-24
146,Cookware Model 764,Home & Kitchen,Cookware,Brand39,22434.0,13522.0,15.61,0,94,SUP099,2022-09-30,1,2026-05-24
147,Bedding Model 957,Home & Kitchen,Bedding,Brand39,32277.0,19223.0,5.68,0,84,SUP005,2017-08-11,1,2026-05-24
148,Bedding Model 528,Home & Kitchen,Bedding,Brand38,11541.0,4892.0,0.35,0,45,SUP095,2017-12-28,1,2026-05-24
149,Skincare Model 641,Beauty,Skincare,Brand22,3036.0,1675.0,15.03,0,35,SUP045,2019-09-21,1,2026-05-24
150,Fitness Equipment Model 532,Sports,Fitness Equipment,Brand39,8578.0,3823.0,8.7,0,82,SUP005,2015-02-07,1,2026-05-24
151,Dairy Model 532,Grocery,Dairy,Brand01,420.0,205.0,11.08,1,66,SUP018,2018-05-12,1,2026-05-24
152,Beverages Model 644,Grocery,Beverages,Brand34,1387.0,655.0,14.97,1,89,SUP074,2021-12-11,1,2026-05-24
153,Furniture Model 644,Home & Kitchen,Furniture,Brand05,42310.0,20912.0,8.13,0,34,SUP024,2019-01-26,0,2026-05-24
154,Men Clothing Model 650,Fashion,Men Clothing,Brand30,11454.0,7026.0,2.45,0,82,SUP037,2021-09-18,1,2026-05-24
155,Bedding Model 986,Home & Kitchen,Bedding,Brand13,36710.0,18651.0,9.85,0,76,SUP035,2022-11-26,1,2026-05-24
156,Appliances Model 323,Home & Kitchen,Appliances,Brand05,30672.0,12547.0,1.61,0,13,SUP019,2018-01-18,1,2026-05-24
157,Men Clothing Model 389,Fashion,Men Clothing,Brand44,6532.0,3342.0,2.46,0,16,SUP018,2021-07-13,0,2026-05-24
158,Haircare Model 584,Beauty,Haircare,Brand13,4975.0,3105.0,14.24,0,81,SUP078,2019-07-23,1,2026-05-24
159,Accessories Model 639,Fashion,Accessories,Brand28,14891.0,7897.0,18.2,0,49,SUP007,2019-01-14,1,2026-05-24
160,Footwear Model 739,Fashion,Footwear,Brand30,5937.0,2737.0,13.06,0,39,SUP082,2022-06-16,1,2026-05-24
161,Laptops Model 633,Electronics,Laptops,Brand21,5693.0,3020.0,16.75,0,100,SUP026,2018-07-06,1,2026-05-24
162,Accessories Model 948,Fashion,Accessories,Brand04,341.0,176.0,15.05,0,25,SUP012,2015-06-11,1,2026-05-24
163,Staples Model 859,Grocery,Staples,Brand08,920.0,425.0,17.45,1,58,SUP036,2016-01-25,1,2026-05-24
164,Staples Model 311,Grocery,Staples,Brand39,1863.0,957.0,5.65,1,82,SUP071,2020-05-24,1,2026-05-24
165,Dairy Model 206,Grocery,Dairy,Brand26,589.0,313.0,5.78,1,76,SUP060,2021-03-20,1,2026-05-24
166,Bedding Model 207,Home & Kitchen,Bedding,Brand01,17827.0,7478.0,5.13,0,31,SUP067,2019-05-28,1,2026-05-24
167,Staples Model 386,Grocery,Staples,Brand29,84.0,50.0,17.68,1,83,SUP045,2016-01-15,1,2026-05-24
168,Women Clothing Model 983,Fashion,Women Clothing,Brand48,8510.0,4514.0,14.11,0,47,SUP033,2021-02-02,1,2026-05-24
169,Bedding Model 309,Home & Kitchen,Bedding,Brand29,45897.0,24072.0,19.63,0,11,SUP008,2018-12-22,1,2026-05-24
170,Men Clothing Model 842,Fashion,Men Clothing,Brand04,3080.0,1488.0,7.12,0,99,SUP087,2018-04-15,1,2026-05-24
171,Snacks Model 914,Grocery,Snacks,Brand42,289.0,170.0,12.18,1,28,SUP059,2018-05-27,1,2026-05-24
172,Accessories Model 642,Fashion,Accessories,Brand23,8897.0,5675.0,19.28,0,63,SUP014,2019-02-26,1,2026-05-24
173,Smart TV Model 504,Electronics,Smart TV,Brand20,108278.0,52475.0,16.59,0,28,SUP003,2018-02-04,1,2026-05-24
174,Smart TV Model 230,Electronics,Smart TV,Brand43,45609.0,27603.0,4.01,0,45,SUP097,2017-11-16,0,2026-05-24
175,Snacks Model 343,Grocery,Snacks,Brand20,590.0,372.0,3.84,1,98,SUP058,2018-04-17,1,2026-05-24
176,Mobile Phones Model 266,Electronics,Mobile Phones,Brand20,9443.0,4668.0,15.43,0,66,SUP074,2019-06-27,1,2026-05-24
177,Smart TV Model 976,Electronics,Smart TV,Brand23,9312.0,5048.0,17.19,0,95,SUP046,2020-01-10,1,2026-05-24
178,Makeup Model 277,Beauty,Makeup,Brand25,2683.0,1490.0,9.7,0,23,SUP030,2017-09-28,1,2026-05-24
179,Outdoor Model 854,Sports,Outdoor,Brand46,20952.0,9884.0,1.99,0,93,SUP087,2020-07-04,1,2026-05-24
180,Footwear Model 466,Fashion,Footwear,Brand32,10900.0,5772.0,14.24,0,62,SUP052,2018-08-21,1,2026-05-24
181,Mobile Phones Model 946,Electronics,Mobile Phones,Brand05,67058.0,31333.0,10.56,0,20,SUP008,2022-12-02,1,2026-05-24
182,Smart TV Model 800,Electronics,Smart TV,Brand37,99983.0,55273.0,9.46,0,90,SUP028,2021-07-30,1,2026-05-24
183,Fragrances Model 487,Beauty,Fragrances,Brand39,1479.0,840.0,12.51,0,20,SUP007,2019-12-27,1,2026-05-24
184,Tablets Model 155,Electronics,Tablets,Brand22,52307.0,25022.0,12.02,0,64,SUP024,2017-05-30,1,2026-05-24
185,Accessories Model 455,Fashion,Accessories,Brand03,6755.0,3784.0,7.69,0,76,SUP083,2018-03-08,0,2026-05-24
186,Haircare Model 622,Beauty,Haircare,Brand03,299.0,138.0,11.36,0,26,SUP068,2015-12-25,1,2026-05-24
187,Dairy Model 255,Grocery,Dairy,Brand35,1519.0,864.0,7.82,1,51,SUP021,2019-04-02,1,2026-05-24
188,Men Clothing Model 369,Fashion,Men Clothing,Brand29,1516.0,669.0,1.97,0,56,SUP085,2016-04-04,1,2026-05-24
189,Women Clothing Model 686,Fashion,Women Clothing,Brand30,6926.0,3774.0,7.9,0,64,SUP010,2021-04-26,1,2026-05-24
190,Mobile Phones Model 363,Electronics,Mobile Phones,Brand23,6047.0,3249.0,0.16,0,42,SUP063,2022-03-23,1,2026-05-24
191,Tablets Model 920,Electronics,Tablets,Brand12,62501.0,35001.0,7.09,0,19,SUP072,2020-02-25,1,2026-05-24
192,Football Model 594,Sports,Football,Brand31,11047.0,6980.0,4.13,0,12,SUP090,2015-04-15,1,2026-05-24
193,Furniture Model 741,Home & Kitchen,Furniture,Brand38,39699.0,18764.0,6.9,0,20,SUP081,2016-06-30,1,2026-05-24
194,Headphones Model 933,Electronics,Headphones,Brand10,42747.0,27601.0,9.04,0,23,SUP037,2019-09-19,1,2026-05-24
195,Men Clothing Model 311,Fashion,Men Clothing,Brand23,12927.0,8035.0,12.49,0,25,SUP062,2022-01-17,1,2026-05-24
196,Footwear Model 810,Fashion,Footwear,Brand47,1458.0,846.0,15.98,0,78,SUP040,2018-02-16,1,2026-05-24
197,Furniture Model 458,Home & Kitchen,Furniture,Brand29,46331.0,20819.0,13.08,0,30,SUP074,2022-05-22,1,2026-05-24
198,Laptops Model 313,Electronics,Laptops,Brand32,97186.0,61697.0,5.91,0,65,SUP093,2021-06-12,1,2026-05-24
199,Cookware Model 212,Home & Kitchen,Cookware,Brand30,3503.0,2232.0,11.13,0,39,SUP021,2017-09-22,1,2026-05-24
200,Dairy Model 332,Grocery,Dairy,Brand47,1505.0,627.0,7.29,1,27,SUP079,2016-08-09,1,2026-05-24
201,Outdoor Model 306,Sports,Outdoor,Brand38,26544.0,15907.0,18.07,0,55,SUP094,2017-11-24,1,2026-05-24
202,Smart TV Model 529,Electronics,Smart TV,Brand27,81686.0,33302.0,18.86,0,46,SUP009,2019-11-13,1,2026-05-24
203,Dairy Model 285,Grocery,Dairy,Brand11,907.0,446.0,6.78,1,99,SUP014,2022-10-29,1,2026-05-24
204,Fitness Equipment Model 306,Sports,Fitness Equipment,Brand04,1828.0,809.0,9.66,0,38,SUP062,2021-04-04,1,2026-05-24
205,Snacks Model 753,Grocery,Snacks,Brand39,59.0,33.0,5.09,1,82,SUP020,2015-08-12,1,2026-05-24
206,Furniture Model 212,Home & Kitchen,Furniture,Brand38,25321.0,11516.0,17.68,0,12,SUP029,2018-09-24,1,2026-05-24
207,Makeup Model 272,Beauty,Makeup,Brand12,2586.0,1458.0,0.45,0,14,SUP036,2018-10-29,1,2026-05-24
208,Women Clothing Model 151,Fashion,Women Clothing,Brand37,3788.0,2382.0,8.25,0,90,SUP011,2021-03-14,1,2026-05-24
209,Appliances Model 290,Home & Kitchen,Appliances,Brand06,23873.0,15405.0,9.25,0,11,SUP068,2022-03-04,1,2026-05-24
